minute;message
3;Advies in stresserende tijden: begin bij het begin. Bij 01000001 bijvoorbeeld.
6;Op het whiteboard passen 2 soorten magneten. De grote helpen je op weg voor de kleine!
9;Het labo rapport bevat een belangrijke geheime boodschap. Alleen het rode staal kan je helpen om deze te vinden!
12;Tijd om de touwtjes (strak) in de handen te nemen: vind met de juiste kleuren het cruciale element.
16;De kinderen zullen alarm slaan: controleer hun personeelsfiches om de GSM te ontgrendelen.
19;GSM nog niet ontgrendeld? Let op het rode patroon. 
22;? ??????? ????????? ????????? ??? ????? ???????
25;Volg de weg door het doolhof: begin bij start en eindig in een continent.
28;Nog goud of hout nodig? Wie zoekt, die vindt beide in de maquette.
32;Heb je extra hulp nodig? Stel een vraag aan de medewerker.
35;Plak de kleine magneten op de grijze vakjes bij het juiste continent.
38;Neem de losse eindjes van de touwtjes bij elkaar en vind het juiste mineraal.
41;Gebruik de Apple om het cijferslot te openen.
45;Leve de technologie! Het wachtwoord moeten jullie lezen met het oog van de GSM.
49;Noteer welke cijfers en letters van de serial numbers van elkaar verschillen en codeer de username.
55;Voor de juiste volgorde van de username gebruik de Griekse letter ?
60;Flits met je smartphone! En vind het paswoord in de bovenste lade.
65;Heb je hulp nodig, vraag het aan de medewerker.
